Color of the clothes,Confident,1-10,Age,Gender,Things for a day
White,1,10,20,F,Work
Black,1,10,21,F,Dates 😁
"Black, White",1,5,22,F,"Work, study"
"Black, White",0,3,19,F,Study
Black,1,10,24,M,Not much
Black,1,10,23,M,Nothing
White,1,1,21,F,"Meetings, shopping"
"Black, Blue, White",1,1,19,M,Work meeting
"Black, Blue, White",1,10,18,M,Work meeting
"Black, White",0,5,20,F,"Study, important meetings"
Pink,1,8,18,F,House cleaning
"Black, White",1,7,20,F,Work and work 🥲
"Black, Blue",1,8,21,M,Day off
Black,1,6,21,F,Study
Green,1,1,32,F,Work
Yellow,1,5,24,M,Work
Yellow,1,1,21,F,Work
"Black, White",1,10,33,M,Work
"Black, White",0,8,19,F,"Study, courses"
Light Blue,1,8,19,F,Study
"Blue, White",0,2,20,F,"Study, courses"
"Black, Blue",1,10,18,F,Study
"Blue, White, Gray",1,8,24,F,Work
Yellow,1,8,28,F,Work
"Black, Blue, Gray",0,6,18,F,Work
"Blue, White",1,9,34,F,Went to the doctor. Went home!
"Black, Gray, Brown",1,7,22,F,"Work, study"
Black,1,9,24,M,Good grade for work
Black,1,6,25,M,Woke up earlier than usual and went for a walk alone after work
"Black, White",1,10,25,F,Take the child to school
Black,1,9,23,M,Work
"Black, Green",1,7,18,M,Study
"Black, White",1,8,18,M,Study
"Black, Red",1,10,23,M,"Work, work"
Black,1,10,41,F,Work
Dark Blue,1,7,21,M,"Work, work…"
Blue,1,7,21,M,"Study, work"
"Black, White",1,7,23,M,Working without a break
"Green, White",1,10,18,F,"Study, dancing"
White,1,7,24,F,Work
Purple-Blue,1,6,34,F,Work
"Black, Brown",1,8,27,F,"Work, household chores, taking kids to and from courses, doing homework with them"
"White, and Gray",1,6,23,F,Work-home
Black,1,10,18,F,Was at university for classes
"Black, Yellow, White, Beige, Blue",1,8,19,F,"Household chores, sports activities"
"Black, Blue",1,9,18,F,Studying at university
Black,1,10,36,F,Work and only work
Yellow,1,8,23,M,Study
Magenta Pink,0,7,30,F,Important meetings
"Black, Blue, White",1,10,32,M,Day off
